Topic,Date Range,Title,First Author,Last Author,Summary,PDF
physics,2000-01-01 - 2017-11-01,,,,,
,,Supersymmetric D-term Twin Higgs,Marcin Badziak,Keisuke Harigaya,"We propose a new type of supersymmetric Twin Higgs model where the SU(4) invariant quartic term is provided by a D-term potential of a new U(1) gauge symmetry. In the model the 125 GeV Higgs mass can be obtained for stop masses below 1 TeV, and a tuning required to obtain the correct electroweak scale can be as low as 20 %. A stop mass of about 2 TeV is also possible with tuning of order O(10) %.                          We propose a new type of supersymmetric Twin Higgs model where the SU(4) invariant quartic term is provided by a D-term potential of a new U(1) gauge symmetry. In the model the 125 GeV Higgs mass can be obtained for stop masses below 1 TeV, and a tuning required to obtain the correct electroweak scale can be as low as 20 %. A stop mass of about 2 TeV is also possible with tuning of order O(10) %.",https://arxiv.org/pdf/1703.02122
,,Steady state current fluctuations and dynamical control in a nonequilibrium single-site Bose-Hubbard system,Xu-Min Chen,Ke-Wei Sun,"We investigate nonequilibrium energy transfer in a single-site Bose-Hubbard model coupled to two thermal baths. By including a quantum kinetic equation combined with full counting statistics, we investigate the steady state energy flux and noise power. The influence of the nonlinear Bose-Hubbard interaction on the transfer behaviors is analyzed, and the nonmonotonic features are clearly exhibited.…                     We investigate nonequilibrium energy transfer in a single-site Bose-Hubbard model coupled to two thermal baths. By including a quantum kinetic equation combined with full counting statistics, we investigate the steady state energy flux and noise power. The influence of the nonlinear Bose-Hubbard interaction on the transfer behaviors is analyzed, and the nonmonotonic features are clearly exhibited. Particularly, in the strong on-site repulsion limit, the results become identical with the nonequilibrium spin-boson model. We also extend the quantum kinetic equation to study the geometric-phase-induced energy pump. An interesting reversal behavior is unraveled by enhancing the Bose-Hubbard repulsion strength.",https://arxiv.org/pdf/1711.00206
,,Unified bulk-boundary correspondence for band insulators,Jun-Won Rhim,Robert-Jan Slager,"The bulk-boundary correspondence, a topic of intensive research interest over the past decades, is one of the quintessential ideas in the physics of topological quantum matter. Nevertheless, it has not been proven in all generality and has in certain scenarios even been shown to fail, depending on the boundary profiles of the terminated system. Here, we intr…                     The bulk-boundary correspondence, a topic of intensive research interest over the past decades, is one of the quintessential ideas in the physics of topological quantum matter. Nevertheless, it has not been proven in all generality and has in certain scenarios even been shown to fail, depending on the boundary profiles of the terminated system. Here, we introduce bulk numbers that capture the exact number of in-gap modes, without any such subtleties in one spatial dimension. Similarly, based on these 1D bulk numbers, we define a new 2D winding number, which we call the pole winding number, that specifies the number of robust metallic surface bands in the gap as well as their topological character. The underlying general methodology relies on a simple continuous extrapolation from the bulk to the boundary, while tracking the evolution of Green's function's poles in the vicinity of the bulk band edges. As a main result we find that all the obtained numbers can be applied to the known insulating phases in a unified manner regardless of the specific symmetries. Additionally, from a computational point of view, these numbers can be effectively evaluated without any gauge fixing problems. In particular, we directly apply our bulk-boundary correspondence construction to various systems, including 1D examples without a traditional bulk-boundary correspondence, and predict the existence of boundary modes on various experimentally studied graphene edges, such as open boundaries and grain boundaries. Finally, we sketch the 3D generalization of the pole winding number by in the context of topological insulators.",https://arxiv.org/pdf/1710.01466
,,Negative differential thermal conductance and heat amplification in a nonequilibrium triangle-coupled spin-boson system at strong coupling,Chen Wang,Jie Ren,"We investigate the nonequilibrium quantum heat transfer in a triangle-coupled spin-boson system within a three-terminal setup. By including the nonequilibrium noninteracting blip approximation approach combined with the full counting statistics, we analytically obtain the steady state populations and heat currents. The negative differential thermal conductance and giant heat amplification factor a…                     We investigate the nonequilibrium quantum heat transfer in a triangle-coupled spin-boson system within a three-terminal setup. By including the nonequilibrium noninteracting blip approximation approach combined with the full counting statistics, we analytically obtain the steady state populations and heat currents. The negative differential thermal conductance and giant heat amplification factor are clearly observed at strong qubit-bath coupling. %and the heat amplification is dramatically suppressed in the moderate coupling regime. Moreover, the strong interaction between the gating qubit and gating thermal bath is unraveled to be compulsory to exhibit these far-from equilibrium features.",https://arxiv.org/pdf/1711.00204
,,Unified Theory of Magnetoelastic Effects in B20 chiral magnets,Yangfan Hu,Biao Wang,"A magnetic skyrmion is a spin whirl with topological protection and high mobility to electric current. Intrinsic magnetoelastic coupling in chiral magnets permits manipulation of magnetic skyrmions and their lattice using mechanical loads, which is essential for developing future spintronics devices. It is found in experiments that the stability and deformation of skyrmions are sensitive to stress…                     A magnetic skyrmion is a spin whirl with topological protection and high mobility to electric current. Intrinsic magnetoelastic coupling in chiral magnets permits manipulation of magnetic skyrmions and their lattice using mechanical loads, which is essential for developing future spintronics devices. It is found in experiments that the stability and deformation of skyrmions are sensitive to stresses, while the appearance of magnetic skyrmions in turn has a significant effect on the mechanical properties of the underlying material. However, a theory which explains these related phenomena within a unified framework is not seen. Here we construct a thermodynamic model for B20 helimagnets incorporating a magnetoelastic functional with necessary higher order interactions derived by group theory. Within the model, we establish the methodology to calculate the phase diagram and equilibrium properties of helimagnets under coupled temperature-magneto-elastic field. Applying the model to bulk MnSi, we calculate the temperature-magnetic field phase diagram under stress-free condition and its variation when uniaxial compression is applied. We also calculate the variation of all the elastic constants with magnetic field. The results obtained agree quantitatively with corresponding experiments. Our model provides a reliable basis for further theoretical studies concerning any magnetoelastic related phenomena in chiral magnets.",https://arxiv.org/pdf/1604.02766
,,Black Hole Radiation with Modified Dispersion Relation in Tunneling Paradigm: Static Frame,Jun Tao,Haitang Yang,"…high gravitational red shift near the event horizon of a black hole, it might appears that the Hawking radiation would be highly sensitive to some unknown high energy physics. To study possible deviations from the Hawking's prediction, the dispersive field theory models have been proposed, following the Unruh's hydrodynamic analogue of a black hole r…                     Due to the exponential high gravitational red shift near the event horizon of a black hole, it might appears that the Hawking radiation would be highly sensitive to some unknown high energy physics. To study possible deviations from the Hawking's prediction, the dispersive field theory models have been proposed, following the Unruh's hydrodynamic analogue of a black hole radiation. In the dispersive field theory models, the dispersion relations of matter fields are modified at high energies, which leads to modifications of equations of motion. In this paper, we use the Hamilton-Jacobi method to investigate the dispersive field theory models. The preferred frame is the static frame of the black hole. The dispersion relation adopted agrees with the relativistic one at low energies but is modified near the Planck mass $m_{p}$. We calculate the corrections to the Hawking temperature for massive and charged particles to $\mathcal{O}\left(m_{p}^{-2}\right) $ and massless and neutral particles to all orders. Our results suggest that the thermal spectrum of radiations near horizon is robust, e.g. corrections to the Hawking temperature are suppressed by $m_{p}$. After the spectrum of radiations near the horizon is obtained, we use the brick wall model to compute the thermal entropy of a massless scalar field near the horizon of a 4D spherically symmetric black hole. We find that the leading term of the entropy depends on how the dispersion relations of matter fields are modified, while the subleading logarithmic term does not. Finally, the luminosities of black holes are computed by using the geometric optics approximation.",https://arxiv.org/pdf/1505.03045
,,Single-mode instability in standing-wave lasers: The quantum cascade laser as a self-pumped parametric oscillator,Tobias S. Mansuripur,Federico Capasso,"We report the observation of a clear single-mode instability threshold in continuous-wave Fabry-Perot quantum cascade lasers (QCLs). The instability is characterized by the appearance of sidebands separated by tens of free spectral ranges (FSR) from the first lasing mode, at a pump current not much higher than the lasing threshold. As the current is increased, higher-order sidebands appear that pr…                     We report the observation of a clear single-mode instability threshold in continuous-wave Fabry-Perot quantum cascade lasers (QCLs). The instability is characterized by the appearance of sidebands separated by tens of free spectral ranges (FSR) from the first lasing mode, at a pump current not much higher than the lasing threshold. As the current is increased, higher-order sidebands appear that preserve the initial spacing, and the spectra are suggestive of harmonically phase-locked waveforms. We present a theory of the instability that applies to all homogeneously broadened standing-wave lasers. The low instability threshold and the large sideband spacing can be explained by the combination of an unclamped, incoherent Lorentzian gain due to the population grating, and a coherent parametric gain caused by temporal population pulsations that changes the spectral gain line shape. The parametric term suppresses the gain of sidebands whose separation is much smaller than the reciprocal gain recovery time, while enhancing the gain of more distant sidebands. The large gain recovery frequency of the QCL compared to the FSR is essential to observe this parametric effect, which is responsible for the multiple-FSR sideband separation. We predict that by tuning the strength of the incoherent gain contribution, for example by engineering the modal overlap factors and the carrier diffusion, both amplitude-modulated (AM) or frequency-modulated emission can be achieved from QCLs. We provide initial evidence of an AM waveform emitted by a QCL with highly asymmetric facet reflectivities, thereby opening a promising route to ultrashort pulse generation in the mid-infrared. Together, the experiments and theory clarify a deep connection between parametric oscillation in optically pumped microresonators and the single-mode instability of lasers, tying together literature from the last 60 years.",https://arxiv.org/pdf/1711.00187
,,Textured heterogeneity in square artificial spin ice,J. C. T Lee,S. Roy,We report evidence of spontaneous formation of a heterogeneous network of superdomains in two-dimensional square artificial spin ice nanostructures in externally applied magnetic fields. The magnetic heterogeneity is locally disordered but has a zig-zag texture at longer length scales. Resonant coherent soft-x-ray scattering off such textures give rise to unique internal structure in Bragg peaks.…                     We report evidence of spontaneous formation of a heterogeneous network of superdomains in two-dimensional square artificial spin ice nanostructures in externally applied magnetic fields. The magnetic heterogeneity is locally disordered but has a zig-zag texture at longer length scales. Resonant coherent soft-x-ray scattering off such textures give rise to unique internal structure in Bragg peaks. Our result shows that the macroscopic magnetic texture is derived from the microscopic structure of the Dirac strings.,https://arxiv.org/pdf/1711.00182
,,Universal Quantum Computation with Gapped Boundaries,Iris Cong,Zhenghan Wang,"…new and general computational primitive of topological charge measurement and present a symmetry-protected implementation of this primitive. Throughout the Letter, a concrete physical example, the $\mathbb{Z}_3$ toric code ($\mathfrak{D}(\mathbb{Z}_3)$), is discussed. For this example, we have a qutrit encoding and an abstract universal gate set.…                     This Letter discusses topological quantum computation with gapped boundaries of two-dimensional topological phases. Systematic methods are presented to encode quantum information topologically using gapped boundaries, and to perform topologically protected operations on this encoding. In particular, we introduce a new and general computational primitive of topological charge measurement and present a symmetry-protected implementation of this primitive. Throughout the Letter, a concrete physical example, the $\mathbb{Z}_3$ toric code ($\mathfrak{D}(\mathbb{Z}_3)$), is discussed. For this example, we have a qutrit encoding and an abstract universal gate set. Physically, gapped boundaries of $\mathfrak{D}(\mathbb{Z}_3)$ can be realized in bilayer fractional quantum Hall $1/3$ systems. If a practical implementation is found for the required topological charge measurement, these boundaries will give rise to a direct physical realization of a universal quantum computer based on a purely abelian topological phase.",https://arxiv.org/pdf/1707.05490
